px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.88988	-5.71184	-2.73734	-2.66199	-0.164061	8.85444	-5.64273	8.85	-5.65	1.81774	1.81773	0.329947
8.99021	-5.6144	-2.72976	-2.62267	-0.0943964	9.02394	-5.6024	8.95	-5.55	1.99657	1.99656	4.58367
9.10067	-5.52862	-2.73082	-2.61565	-0.083767	9.05088	-5.45385	9.05	-5.45	1.99654	1.99655	0.437801
9.23936	-5.46812	-2.73488	-2.64716	-0.12701	9.04088	-5.29691	9.2	-5.4	2.72728	0.909094	2.9741
9.36707	-5.38334	-2.73674	-2.64554	-0.119187	9.34223	-5.32623	9.35	-5.35	2.72727	0.90909	0.213017
9.46728	-5.26596	-2.72593	-2.58953	-0.0294264	9.39579	-5.21659	9.45	-5.25	1.81816	1.81815	7.53074
9.58881	-5.17608	-2.72622	-2.58354	-0.0225449	9.55303	-5.13194	9.55	-5.15	1.81813	1.81813	0.175459
9.69489	-5.06777	-2.71956	-2.54093	0.042665	9.75019	-5.14652	9.65	-5.05	1.82036	1.82036	4.20752
9.8097	-4.97207	-2.71861	-2.53053	0.0499347	9.7586	-4.93134	9.75	-4.95	1.82036	1.82037	0.228603
9.90909	-4.85452	-2.71308	-2.4825	0.115839	9.9198	-4.86941	9.85	-4.85	1.81578	1.81577	3.82288
10.0178	-4.75741	-2.70969	-2.47085	0.120644	9.95641	-4.74358	9.95	-4.75	1.81575	1.81575	0.20376
10.1042	-4.62629	-2.70431	-2.412	0.194269	10.0029	-4.54771	10.05	-4.6	1.82039	2.7306	4.40354
10.2035	-4.51085	-2.7044	-2.39003	0.204358	10.1428	-4.45119	10.15	-4.45	1.8204	2.7306	0.392956
10.2902	-4.38203	-2.70234	-2.34364	0.252764	10.1981	-4.26556	10.25	-4.3	1.81769	2.72652	1.87725
10.3863	-4.25396	-2.70752	-2.31735	0.2634	10.3644	-4.16342	10.35	-4.15	1.81768	2.7265	0.477007
10.5042	-4.1599	-2.71062	-2.3291	0.225716	10.5985	-4.12247	10.45	-4.05	1.81792	1.81792	1.17548
10.5945	-4.03056	-2.71368	-2.30314	0.237406	10.5415	-3.9454	10.55	-3.95	1.8179	1.8179	0.551964
10.6914	-3.91499	-2.71457	-2.28598	0.242677	10.7092	-3.85166	10.65	-3.85	1.81903	1.81904	0.0548815
10.7832	-3.79205	-2.71652	-2.2664	0.247986	10.7616	-3.75002	10.75	-3.75	1.81902	1.81903	0.122495
10.8376	-3.64092	-2.71348	-2.19181	0.335782	10.795	-3.60617	10.8	-3.6	0.909773	2.72931	6.02579
